query,subject,percent_identity
LOC100757262,AKR1D1,50.943
LOC100757262,AKR1B10,73.563
LOC100757262,LOC616199,73.988
LOC100758120,AKR1E2,59.868
LOC100758120,LOC616199,75.145
LOC100758120,AKR1B1,75.145
Ezh2,EZH2,97.823
LOC100758120,AKR1B10,76.879
Bpgm,LOC112447087,91.154
Bpgm,BPGM,91.154
Gne,GNE,97.798
LOC100763430,LOC781988,58.271
Alox5,ALOX5,92.0
Enpp3,ENPP3,81.958
Enpp3,ENPP1,55.467
Arg1,ARG1,88.652
Arg1,AGMAT,65.517
Ezh2,EZH1,67.568
Arg1,ARG2,61.238
LOC100753164,SULT2A1,65.116
LOC100753164,LOC783020,55.556
LOC100753164,SULT1A1,55.172
LOC100753164,SULT1C2,57.143
LOC100762189,CYP51A1,91.65
LOC100753164,SULT1C3,60.714
Pdss2,PDSS2,86.856
LOC100753164,LOC514658,62.313
Xylt1,XYLT1,95.04
Xylt1,XYLT2,79.545
Srm,SRM,93.173
Fth1,FTH1,92.857
Fth1,FTMT,81.818
Smpd2,SMPD2,78.883
Fth1,LOC788801,55.233
Fth1,FTL,55.233
Ak9,AK9,69.953
Fth1,LOC101905830,58.192
Ddo,DDO,77.485
Adcy3,ADCY3,92.216
Fth1,SLBP,52.907
Adcy3,ADCY8,53.285
Fth1,LOC783993,52.023
Fth1,LOC112445037,55.682
Fth1,LOC112445020,52.778
Fth1,LOC101907711,50.549
Dnmt3a,DNMT3A,99.202
Fth1,LOC100300003,58.571
Fads2,FADS2,88.611
Fads2,FADS3,60.938
Dnmt3a,DNMT3B,62.025
Fads2,FADS2B,57.611
Fads2,FADS1,62.155
Fads2,LOC615051,53.035
Ids,IDS,97.436
Hadha,HADHA,83.649
Hadhb,HADHB,90.336
Agl,AGL,90.1
Slc35a3,SLC35A3,95.719
Slc35a3,SLC35A2,56.917
B3galt5,B3GALT5,64.145
Ak8,AK8,74.709
Khk,KHK,89.189
LOC100768367,ALDH1A1,85.857
LOC100755423,UGT2A1,59.273
LOC100755423,LOC540544,54.154
LOC100755423,UGT1A6,75.514
LOC100755423,UGT1A1,65.157
Slc5a6,SLC5A6,80.908
LOC100755423,LOC100138004,55.034
Ppcs,PPCS,85.612
Cad,CPS1,50.922
Cad,CAD,94.789
LOC100768367,ALDH2,66.932
Hacd4,HACD4,84.53
Sdhb,SDHB,95.736
Rpn2,RPN2,93.529
Slc7a3,SLC7A3,83.71
LOC100768367,ALDH1B1,59.496
Slc7a3,SLC7A1,58.758
Slc7a3,MGC138914,62.701
Slc7a3,LOC527385,61.264
Slc7a3,LOC510904,57.423
Slc7a3,SLC7A2,58.155
Slc32a1,SLC32A1,99.051
Slc7a3,LOC514552,56.361
Pik3r5,PIK3R5,83.473
Slc7a3,LOC100300449,53.462
Slc7a3,LOC528332,59.128
Slc7a3,LOC112442239,55.698
Pik3r6,PIK3R6,65.655
Slc7a3,LOC528568,55.935
Slc7a3,LOC112442378,56.331
Slc7a3,LOC617141,56.167
Slc7a3,MGC157082,60.887
Pfas,PFAS,86.931
Aloxe3,ALOXE3,79.487
Alox12b,ALOX12B,84.38
Slc7a3,LOC104968422,60.282
Alox12b,ALOXE3,52.259
Alox15b,ALOX15B,72.621
Gucy2d,GUCY2D,74.631
Slc7a3,LOC618873,53.431
Gucy2d,GUCY2F,50.997
Gucy2d,ADCY9,54.054
Atp1b2,ATP1B2,97.608
Sat2,SAT2,79.762
LOC100768654,ALDH1A2,72.267
Slc2a4,SLC2A4,94.314
Slc2a4,SLC2A1,66.129
LOC100768654,ALDH1A3,68.347
Slc7a3,LOC504861,80.723
Slc7a3,MGC139164,58.824
LOC100768654,ALDH2,67.611
Slc7a3,LOC789418,58.222
Slc2a4,SLC2A2,58.405
Slc7a3,LOC532048,56.75
Slc7a3,LOC132342876,78.226
Slc2a4,SLC2A3,58.993
LOC100768654,ALDH1B1,60.721
Slc2a4,LOC538810,57.653
Slc7a3,LOC101904151,52.288
Alox15,ALOX12E,79.186
LOC100753681,CYP2C90,57.271
LOC100753681,CYP2C87,57.823
Alox15,ALOX15,65.378
Alox15,ALOX12,57.38
LOC100753681,CYP2C88,55.31
Slc38a4,SLC38A4,93.029
Pld2,PLD2,87.3
LOC100753681,CYP2C89,53.258
LOC100753681,CYP2C282,50.559
LOC100753681,CYP2B6,58.333
LOC100753681,LOC527083,55.357
Pld2,PLD1,63.056
Slc25a11,SLC25A11,96.466
Eno3,ENO3,98.851
Eno3,ENO1,83.448
Chcr1,LOC112441473,82.014
Eno3,ENO2,83.063
Chst1,CHST1,94.878
Slc35c1,SLC35C1,87.158
Chcr2,CBR1,84.643
Chcr2,LOC112441473,83.571
Chcr2,MGC127133,78.571
Chcr2,CBR3,75.0
LOC100752270,CBR1,80.216
LOC100752270,LOC112441473,79.496
LOC100752270,MGC127133,76.619
LOC100752270,CBR3,73.022
Atp8a1,ATP8A1,98.399
LOC100774725,GLYAT,67.521
LOC100774725,LOC104974345,66.239
LOC100774725,GAT,62.821
LOC100774725,LOC112441481,62.393
LOC100774725,LOC518623,59.596
Dgkz,DGKZ,96.415
Pgm2,PGM2,89.884
Dgkz,DGKI,63.175
Pgm2,PGM2L1,59.0
Ppat,PPAT,93.54
Paics,PAICS,94.43
Acp2,ACP3,51.852
Acp2,ACP2,86.648
Ndufs3,NDUFS3,90.763
Slc11a2,SLC11A2,93.882
Cmpk1,CMPK1,95.402
LOC100767149,CYP4A59,72.102
LOC100767149,CYP4A22,72.692
LOC100767149,CYP4B1,54.31
Slc11a2,LOC112441543,68.859
Slc11a2,SLC11A1,65.868
Slc11a2,LOC512464,89.333
LOC100767149,LOC100847677,50.308
Sult4a1,SULT4A1,99.13
LOC100754177,CYP2C90,77.119
LOC100754177,CYP2C88,74.788
LOC100754177,CYP2C87,77.803
LOC100754177,CYP2C85,77.471
LOC100754177,CYP2C89,67.413
LOC100754177,CYP2C282,66.26
LOC100754177,CYP2C281,67.413
LOC100767149,LOC507615,50.809
LOC100754177,CYP2C23,59.504
LOC100767149,CYP4A11,82.09
LOC100754177,CYP2E1,58.163
LOC100767921,CYP4A59,68.762
LOC100767921,CYP4A22,68.959
LOC100754177,CYP2A13,52.092
LOC100767921,CYP4B1,52.903
LOC100754177,CYP2F1,52.495
LOC100767921,CYP4A11,82.609
LOC100754177,CYP2B6,52.094
LOC100754177,LOC527083,56.25
LOC100754462,CYP2C90,74.255
LOC100754462,CYP2C85,71.762
LOC100754462,CYP2C87,73.103
LOC100754462,CYP2C88,71.915
LOC100754462,CYP2C89,64.213
LOC100754462,CYP2C282,64.082
LOC100754462,CYP2C281,64.417
LOC100754462,CYP2C23,56.148
LOC100754462,CYP2E1,55.556
LOC100754462,CYP2A13,50.833
LOC100768211,CYP4A59,72.705
LOC100768211,CYP4A22,72.208
LOC100754462,CYP2F1,52.239
LOC100754462,CYP2B6,53.665
LOC100768211,LOC507615,50.246
LOC100768211,LOC507016,50.123
LOC100754462,LOC527083,50.893
Bst1,BST1,78.84
Sdha,SDHA,90.327
Tyms,LOC112449363,92.123
Tyms,TYMS,90.066
LOC100768211,CYP4B1,56.0
Sardh,SARDH,87.373
Dbh,DBH,72.742
Coq7,COQ7,75.581
Man2a2,MAN2A2,88.532
LOC100768211,CYP4A11,81.818
Man2a2,MAN2A1,54.219
Hddc3,HDDC3,91.667
LOC100768783,CYP4A59,73.084
LOC100768783,CYP4A22,72.299
St3gal2,ST3GAL2,98.844
LOC100768783,CYP4B1,52.903
St3gal2,ST3GAL1,60.694
LOC100768783,CYP4A11,81.522
St3gal2,ST6GALNAC4,83.333
Slc6a17,SLC6A17,97.917
Slc6a17,SLC6A15,70.99
Slc6a17,SLC6A19,51.852
Slc6a17,SLC6A20,53.247
Slc6a17,SLC6A18,52.821
LOC100769255,CYP4B1,83.445
Slc6a17,LOC785907,57.895
Slc34a3,SLC34A3,74.752
Slc34a3,SLC34A1,55.307
LOC100769255,CYP4A59,55.357
Slc34a3,SLC34A2,54.396
LOC100769255,CYP4A11,61.702
Gclm,GCLM,96.257
LOC100750822,UQCRC2,82.159
Me3,ME3,94.681
LOC100769255,CYP4A22,55.085
Me3,ME1,70.833
Me3,ME2,56.522
LOC100771461,UQCRH,95.385
LOC100774067,PIK3R3,96.753
Slco2b1,SLCO2B1,75.073
LOC100774067,PIK3R1,80.101
LOC100774067,PIK3R2,72.525
Akr1a1,AKR1A1,92.901
Nt5c2,NT5C2,99.459
Akr1a1,AKR1B10,55.696
Hpdl,HPDL,77.358
Urod,UROD,93.478
Nt5c2,NT5DC4,58.974
Cat,CAT,92.402
Pank4,PANK4,93.669
Apip,APIP,91.813
Plch2,PLCH2,81.766
Plch2,PLCH1,62.978
Pdhx,PDHX,82.628
Plch2,PLCD4,50.877
Plch2,PLCZ1,50.754
Hk2,HK2,94.553
Slc1a2,SLC1A2,96.209
Slc1a2,SLC1A3,55.208
Slc1a2,SLC1A1,53.556
Slc1a2,SLC1A6,50.104
Eci2,ECI2,74.167
Adprm,ADPRM,83.383
Hk2,HK3,57.286
Impdh1,IMPDH1,98.963
Impdh1,IMPDH2,84.025
Hk2,GCK,57.014
Atp6v1f,ATP6V1F,98.333
Slc4a8,SLC4A8,96.833
Slc4a8,SLC4A10,78.55
Ahcyl2,AHCYL2,99.753
Ahcyl2,AHCYL1,93.58
Ahcyl2,AHCY,51.478
Cpa5,CPA5,78.767
Slc4a8,SLC4A7,75.204
Cpa5,CPA1,56.459
Cpa5,CPA4,50.376
Slc4a8,SLC4A4,56.545
Cpa1,CPA1,78.571
Cpa1,CPA5,59.905
Cpa1,CPA4,53.494
Slc4a8,SLC4A5,50.634
Slc4a8,SLC4A9,57.586
Uros,UROS,80.214
Asah1,ASAH1,82.622
Hs3st1,HS3ST1,85.942
LOC100760248,CYP2B6,73.941
LOC100760248,CYP2B39,58.065
LOC100760248,CYP2A13,52.621
LOC100760248,CYP2C90,52.146
LOC100760248,CYP2C88,50.321
LOC100760248,CYP2C85,50.115
LOC100760248,LOC527083,54.783
Cyp2a17,CYP2A13,81.838
Slc7a2,LOC504861,60.0
Slc7a2,LOC132342876,59.836
Slc7a2,LOC101904151,56.522
Slc7a2,SLC7A2,91.515
Cyp2a17,CYP2F1,54.525
Slc7a2,SLC7A1,60.925
Cyp2a17,CYP2C90,55.234
Slc7a2,SLC7A3,56.933
Cyp2a17,CYP2C23,50.426
Cyp2a17,CYP2C85,52.434
Slc7a2,LOC104968422,51.411
Slc7a2,MGC157082,51.21
Slc7a2,SLC7A14,50.363
Slc7a2,LOC532048,50.276
Pgm1,PGM1,91.297
Cyp2a17,CYP2B6,58.011
Pgm1,PGM5,64.831
Alg6,ALG6,84.252
Mgat5,MGAT5,94.34
Cyp2a17,CYP2C87,52.925
Cyp2a17,CYP2S1,50.365
Mgat5,CCDC126,52.273
Acad11,ACAD11,81.63
Acad11,ACAD10,50.743
Nudt16,NUDT16,60.209
Nudt16,NUDT16L1,56.0
Cyp2a17,LOC527083,65.179
Pgap1,PGAP1,89.382
Pik3r4,PIK3R4,95.68
Ache,ACHE,87.81
Ache,BCHE,53.279
Glyctk,GLYCTK,88.202
Alas1,ALAS1,89.043
Alas1,ALAS2,58.889
Pigc,PIGC,94.631
Pigc,LOC508976,84.899
Acmsd,ACMSD,86.31
Lct,LCT,77.209
LOC100750340,LOC100138004,72.549
LOC100750340,UGT2A1,78.623
Pfkfb2,PFKFB3,76.867
LOC100750340,LOC540544,75.862
LOC100750340,LOC100138908,74.828
LOC100750340,LOC100140261,74.828
LOC100750340,LOC100296421,74.828
LOC100750340,LOC540615,74.483
LOC100750340,LOC615303,73.958
LOC100750340,UGT2B10,76.071
LOC100750340,LOC530553,75.0
LOC100750340,MGC152010,74.638
LOC100750340,LOC526979,75.273
LOC100750340,LOC781988,72.101
Pfkfb2,PFKFB4,74.131
LOC100750340,UGT1A1,51.237
LOC100750340,LOC782370,60.0
LOC100751798,LOC615303,67.864
Pfkfb2,PFKFB2,94.484
LOC100751798,LOC540615,65.16
LOC100751798,LOC100138908,65.16
LOC100751798,UGT2B10,65.73
LOC100751798,LOC100140261,65.16
LOC100751798,LOC100296421,64.783
Pfkfb2,PFKFB1,73.955
LOC100753186,RENBP,81.327
LOC100753186,NAA10,74.648
Entpd1,ENTPD1,63.971
Entpd1,ENTPD8,55.422
Pgam1,PGAM1,98.558
Pgam1,PGAM2,83.495
Pgam1,LOC112447087,53.846
Pgam1,BPGM,53.846
LOC100751798,LOC540544,75.153
Hoga1,HOGA1,90.347
LOC100751798,LOC100138004,73.203
LOC100751798,UGT2A1,76.552
Pi4k2a,PI4K2A,97.91
Pi4k2a,PI4K2B,70.206
Got1,GOT1,89.614
Slc20a1,SLC20A1,90.749
Slc20a1,SLC20A2,59.132
Gpat2,GPAT2,84.138
Blvra,BLVRA,82.492
Hdc,HDC,87.481
Hdc,DDC,53.782
LOC100751325,LOC526979,58.812
Slc27a2,SLC27A2,82.384
Slc27a2,SLC27A6,58.515
Plcxd2,PLCXD2,91.813
Plcxd2,PLCXD3,53.016
LOC100751325,LOC540544,76.897
LOC100751325,LOC100138908,76.897
LOC100751325,LOC100296421,76.552
Atp6v1a,ATP6V1A,98.058
Idh3a,IDH3A,98.093
LOC100751325,LOC540615,76.552
LOC100751325,LOC615303,76.389
Acsbg1,ACSBG1,85.036
LOC100751325,LOC100140261,76.897
Acsbg1,ACSBG2,52.248
LOC100751325,UGT2B10,76.552
LOC100751325,LOC100138004,74.828
Hykk,HYKK,83.024
LOC100751325,LOC530553,76.344
Etfa,ETFA,95.21
LOC100751325,LOC781988,73.448
LOC100751325,MGC152010,76.087
Man2c1,MAN2C1,88.549
LOC100751325,UGT1A1,57.951
LOC100751325,UGT1A6,57.84
LOC100751325,LOC782370,63.0
Galk2,GALK2,93.275
Extl3,EXTL3,96.413
Extl3,EXT2,53.604
LOC100759874,TDH,81.884
Gda,GDA,87.927
Fdft1,FDFT1,88.083
Nsdhl,NSDHL,90.987
Nudt9,NUDT9,90.411
Dolk,DOLK,94.095
LOC100767351,COX7A2,82.143
LOC100767351,LOC132343906,72.619
LOC100767351,LOC132346172,73.81
LOC100767351,LOC132343845,68.675
LOC100767351,COX7A1,62.338
LOC100767351,COX7A2L,53.448
Slc6a2,SLC6A2,91.952
Slc6a2,SLC6A3,66.0
Slc6a2,SLC6A4,53.309
Kyat1,KYAT1,83.862
Slc6a2,SLC6A12,50.938
Duox2,DUOX2,84.728
Duox2,DUOX1,73.338
Sord,SORD,85.112
Kyat1,LOC104968656,83.285
Kyat1,KYAT3,59.912
Ptges,PTGES,77.333
Mgat2,MGAT2,85.938
LOC100759779,HNMT,92.063
Pde6d,PDE6D,100.0
LOC100765484,AOX1,80.697
LOC100765484,XDH,52.584
LOC100772408,UGT8,94.161
Etnppl,ETNPPL,86.081
Etnppl,PHYKPL,68.579
Arsa,ARSA,88.773
Hibch,HIBCH,78.036
Idh2,IDH2,94.702
Idh2,IDH1,70.72
Cpt1c,CPT1C,83.09
Cpt1c,CPT1B,51.102
Cpt1c,CPT1A,56.911
Mgat3,MGAT3,93.494
Slc40a1,SLC40A1,88.368
Slc37a2,SLC37A2,80.757
Slc37a2,SLC37A1,61.538
Fah,FAH,90.132
Ddah1,DDAH1,82.439
Ppip5k1,PPIP5K2,77.408
Mthfr,MTHFR,92.766
LOC100751913,SULT2A1,61.348
Ppip5k1,PPIP5K1,96.011
LOC100751913,LOC514658,60.714
LOC100751331,SULT2A1,66.013
LOC100751331,LOC514658,65.789
LOC100751331,SULT2B1,52.381
Slc3a2,SLC3A2,71.719
Mpst,MPST,81.667
Mpst,TST,58.923
Tst,TST,88.963
Tst,MPST,61.017
Ahcyl1,AHCYL1,100.0
Ahcyl1,AHCY,50.939
Ahcyl1,AHCYL2,95.896
LOC100751624,SULT2B1,50.196
LOC100751624,SULT2A1,63.287
LOC100751624,LOC514658,64.552
LOC100759668,SULT1C2,80.702
LOC100759668,SULT1C3,63.38
LOC100759668,LOC783020,60.854
LOC100759668,SULT1D1,54.355
LOC100759668,SULT1B1,54.167
LOC100759668,SULT1A1,53.559
LOC100759668,LOC100300896,60.664
LOC100759957,SULT1C3,88.525
LOC100759957,LOC783020,67.626
LOC100759957,LOC100300896,65.108
LOC100759957,SULT1C2,59.259
LOC100759957,SULT1D1,58.621
LOC100759957,SULT1B1,57.241
LOC100759957,SULT1A1,53.287
Pgd,PGD,90.083
Folr1,FOLR1,78.903
Folr1,FOLR3,82.949
Folr1,FOLR2,76.699
Folr1,IZUMO1R,60.194
LOC100758335,SLC28A3,81.638
LOC100758335,SLC28A1,52.141
Aco2,ACO2,97.594
Aqp8,AQP8,73.828
Tkfc,TKFC,88.256
LOC100765891,CYP2E1,78.702
LOC100765891,CYP2C90,60.0
LOC100765891,CYP2C88,59.023
LOC100765891,CYP2C85,57.928
LOC100765891,CYP2C89,55.464
LOC100765891,CYP2C23,52.352
LOC100765891,CYP2C281,53.783
LOC100765891,CYP2C282,53.909
LOC100765891,CYP2F1,50.216
LOC100765891,CYP2C87,58.793
LOC100765891,LOC527083,54.054
LOC100767061,ADH6,70.109
LOC100767061,ADH1C,57.493
LOC100767061,ADH5,56.164
LOC100767633,ADH4,72.308
LOC100767633,ADH5,59.585
LOC100767633,ADH1C,56.186
LOC100767633,ADH6,53.571
LOC100750926,PIP5K1B,98.795
LOC100750926,PIP5K1A,85.393
LOC100750926,PIP5K1C,89.744
LOC100760661,CHIA,79.695
LOC100760661,OVGP1,51.882
LOC100760661,LOC100138271,50.806
Plod1,PLOD1,92.45
Plod1,PLOD2,60.969
Plod1,PLOD3,60.938
Enpp4,ENPP4,81.938
P4ha3,P4HA3,89.212
Pgm2l1,PGM2L1,94.046
Pgm2l1,PGM2,60.845
Gbgt1,GBGT1,78.738
Dpyd,DPYD,94.444
Setdb2,PHF11,53.199
Setdb2,SETDB1,59.74
Setdb2,SETMAR,55.738
Setdb2,SETDB2,68.028
LOC100761706,ALDH1A1,83.466
LOC100761706,ALDH1A2,71.255
LOC100761706,ALDH1A3,67.339
LOC100761706,ALDH2,65.139
LOC100761706,ALDH1B1,59.312
Slc6a19,SLC6A19,87.5
Slc6a19,SLC6A18,62.5
Slc6a18,SLC6A18,74.396
Slc6a18,SLC6A19,55.647
Slc6a18,SLC6A20,51.904
Ndufab1,NDUFAB1,89.172
Slc6a17,SLC6A2,53.731
Slc6a17,SLC6A12,62.162
Inpp5d,INPP5D,87.456
Tm7sf2,TM7SF2,89.059
Tm7sf2,LBR,58.255
LOC103159932,MANBA,62.909
Uap1l1,UAP1L1,82.738
Uap1l1,UAP1,62.963
Entpd2,ENTPD2,81.855
Entpd2,ENTPD8,57.738
LOC100767729,GAT,70.034
LOC100767729,LOC112441481,69.697
LOC100767729,GLYAT,66.667
LOC100767729,LOC104974345,65.986
LOC100767729,LOC518623,69.811
LOC100767729,LOC132342276,58.333
LOC100771066,CYP2R1,52.071
LOC100771066,LOC527083,54.31
LOC100771066,CYP2D14,72.34
LOC100771066,CYP2D43,71.868
LOC100760748,HS2ST1,98.734
Slc43a2,SLC43A2,96.316
Slc43a2,SLC43A1,52.062
Slc5a2,SLC5A2,90.208
Slc5a2,SLC5A1,60.518
Slc5a2,SLC5A4,57.663
Slc5a2,SLC5A9,59.025
Slc5a2,SLC5A11,51.506
Slc5a2,SLC5A10,59.735
Slc5a2,SLC5A3,51.273
Slc5a2,LOC531152,55.866
Acot7,ACOT7,96.491
LOC100759787,CYP2B6,74.841
LOC100759787,CYP2B39,58.034
LOC100759787,CYP2A13,53.527
LOC100759787,CYP2C90,53.632
LOC100759787,CYP2C88,51.599
LOC100759787,CYP2C85,51.034
LOC100759787,CYP2C87,51.706
LOC100759787,LOC527083,65.217
LOC100769643,SULT1A1,76.351
LOC100769643,SULT1D1,57.732
LOC100769643,SULT1B1,54.949
LOC100769643,SULT1C3,53.979
LOC100769643,LOC783020,54.296
LOC100769643,SULT1E1,53.214
Ganc,GANC,84.632
LOC100769643,SULT1C2,50.676
LOC100769643,LOC100300896,53.774
Acsl3,ACSL3,92.926
Acsl3,ACSL4,67.164
Slc2a5,LOC107131287,78.905
Slc2a5,SLC2A5,78.905
Pla2g4f,PLA2G4F,75.176
Pla2g4d,PLA2G4D,73.507
Pla2g4e,PLA2G4E,79.426
Itpka,ITPKA,96.321
Itpka,ITPKB,66.894
Itpka,ITPKC,61.695
Slc1a4,SLC1A4,86.116
Slc1a4,SLC1A5,59.504
Pcbd2,PCBD2,94.545
Pcbd2,PCBD1,68.519
Gpat3,GPAT3,90.305
B4galt7,B4GALT7,89.202
Gpat3,GPAT4,78.824
Aldoc,ALDOC,95.89
Slc34a1,SLC34A1,86.719
Slc34a1,SLC34A2,63.842
Slc34a1,SLC34A3,54.083
Aldoc,ALDOA,81.096
Hk3,HK3,84.507
Hk3,HK2,57.414
LOC100768312,PLA2G16,79.87
LOC100768312,LOC618367,71.698
LOC100768312,LOC100336631,62.687
LOC100768312,LOC614402,60.976
Hk3,HK1,53.244
Hk3,HKDC1,52.439
Hk3,GCK,53.125
LOC100768312,PLAAT5,57.143
Aldh7a1,ALDH7A1,88.025
LOC100763079,COX11,97.778
Dgke,DGKE,92.226
LOC100762876,CYP2B6,74.737
LOC100762876,CYP2B39,58.38
Got1l1,GOT1L1,70.408
LOC100762876,CYP2A13,56.716
Hgsnat,HGSNAT,82.67
LOC100762876,CYP2C87,52.865
LOC100758725,COX16,86.275
LOC100762876,CYP2C85,51.716
LOC100762876,CYP2C88,51.282
LOC100762876,CYP2S1,50.337
LOC100762876,LOC527083,63.478
LOC100763166,CYP2B6,72.824
LOC100763166,CYP2A13,54.409
LOC100763166,CYP2C90,53.132
Slc8a3,SLC8A1,71.716
LOC100763166,CYP2B39,56.546
LOC100763166,CYP2C87,50.526
LOC100763166,LOC527083,65.766
Pla2g6,PLA2G6,90.483
Paox,PAOX,82.096
Echs1,ECHS1,90.833
LOC100762413,PAPSS1,99.505
LOC100762413,PAPSS2,83.085
LOC100756118,COX7A2L,80.0
LOC100756118,COX7A2,52.83
LOC100760161,LOC520336,73.086
LOC100760161,GCNT2,77.311
LOC100760161,LOC112443869,62.914
LOC100760161,GCNT7,52.711
LOC100774258,SLC6A3,84.232
LOC100774258,SLC6A2,67.15
Slc8a3,SLC8A2,71.588
Csad,GADL1,66.154
Csad,GAD1,57.252
Slc8a3,SLC8A3,97.324
Csad,LOC529488,54.198
Csad,GAD2,57.634
Soat2,SOAT2,81.53
Gsto1,LOC785216,72.021
Gsto1,GSTO1,74.38
Gsto1,GSTO2,59.091
Slc10a1,SLC10A1,74.051
Galnt16,GALNT16,92.2
Galnt16,GALNT14,58.032
Galnt16,GALNT2,53.924
Pdxk,PDXK,87.859
Galnt16,GALNT11,57.692
Dctpp1,DCTPP1,77.246
Sephs2,SEPHS2,86.957
Sephs2,SEPHS1,71.429
B3gnt7,B3GNT7,77.861
B3gnt7,B3GNT4,50.347
Rdh12,HSD11B1,54.545
Tph1,TPH1,88.315
Tph1,TPH2,69.074
Tph1,PAH,55.581
Slc9a3,SLC9A3,94.355
Slc9a3,SLC9A5,62.923
Slc9a3,LOC518911,50.229
Rdh12,DHRS13,51.418
Rdh12,RDH12,89.492
Rdh13,RDH13,94.737
Rdh12,RDH11,69.966
Rdh12,RDH13,51.505
Rdh13,DHRS13,56.579
Rdh13,RDH12,51.316
Rdh11,RDH11,85.085
Rdh13,RDH11,52.632
Rdh11,RDH12,71.379
Rdh11,RDH13,50.498
Arg2,ARG2,89.014
Arg2,ARG1,58.075
Pigh,PIGH,89.947
Gnpda2,GNPDA2,96.624
Gnpda2,GNPDA1,91.026
Dolpp1,DOLPP1,94.561
Atp6v1d,ATP6V1D,100.0
Crat,CRAT,89.952
LOC100766566,NNT,98.086
Mgat4a,MGAT4A,95.05
LOC100762108,NDST4,98.892
LOC100762108,NDST1,74.238
Mgat4a,MGAT4B,71.769
LOC100766959,COA5,89.333
LOC100762108,NDST2,70.028
Kyat3,KYAT3,86.667
Kyat3,LOC104968656,57.554
Kyat3,KYAT1,60.987
LOC100750644,LOC327709,78.082
LOC100750644,LOC783879,78.539
LOC100750644,LOC615514,77.169
LOC100750644,GSTM2,76.712
LOC100750644,LOC100295687,76.256
LOC100750644,GSTM3,71.759
Ndufs6,NDUFS6,72.8
LOC100755056,ACSM4,90.189
LOC100755056,ACSM3,62.457
LOC100755056,ACSM2B,59.85
Inpp4a,INPP4A,96.788
LOC100755056,ACSM5,63.341
LOC100755056,ACSM1,56.195
LOC100756805,PPA2,81.928
LOC100756805,PPA1,67.47
Galnt6,GALNT6,88.432
Galnt6,GALNT3,66.162
Galnt6,GALNT4,53.767
Galnt6,GALNT13,56.18
Galnt6,GALNT1,51.736
Galnt6,GALNT12,67.5
Galnt6,LOC100300881,53.741
Galnt6,GALNT11,50.575
Atp8a1,ATP8A2,71.937
Anpep,ANPEP,75.519
Cyp2a17,CYP2E1,51.351
Pnpla3,LOC100297709,60.732
Pnpla3,PNPLA3,56.977
Adh7,ADH1C,68.617
Adh7,ADH7,72.752
Adh7,ADH5,59.091
Adh7,ADH6,58.621
LOC100768321,COX5B,86.154
Hs6st1,HS6ST1,91.212
Hs6st1,HS6ST2,66.038
Adh7,LOC523510,53.117
Hs6st1,HS6ST3,67.066
Adh7,ADH4,52.756
Agps,AGPS,94.485
LOC100760081,ADH1C,80.851
LOC100760081,ADH5,63.102
LOC100760081,ADH4,59.58
Mecr,MECR,82.061
LOC100760081,ADH6,61.478
LOC100760081,ADH7,60.054
LOC100760081,LOC523510,53.846
LOC100761248,FBP2,96.471
LOC100761248,FBP1,73.294
LOC100762701,COX8B,61.972
Gmps,GMPS,97.368
LOC100773095,FADS1,92.391
LOC100773095,FADS2,59.239
LOC100773095,FADS3,53.261
Lalba,LALBA,65.734
Slc33a1,SLC33A1,94.85
Plch1,PLCH1,81.802
Plch1,PLCH2,63.715
Plch1,PLCZ1,50.785
Cpt1b,CPT1A,64.052
Aldh2,ALDH2,93.491
Aldh2,ALDH1A2,67.535
Aldh2,ALDH1A1,66.932
Aldh2,ALDH1B1,68.675
Aldh2,ALDH1A3,66.869
Hpd,HPD,90.704
B3gnt4,B3GNT4,77.077
LOC100763175,UQCRQ,78.261
Dlat,DLAT,84.969
Sdhd,SDHD,76.875
Cpt1b,CPT1B,87.835
Cpt1b,CPT1C,56.034
Chkb,CHKB,86.253
Pts,LOC101905029,91.453
Chkb,CHKA,62.108
Pts,PTS,92.308
Hsd11b1,HSD11B1,74.403
Glb1,GLB1,76.206
Glb1,GLB1L,58.723
Ca13,CA13,90.761
Ca13,CA2,65.385
Ca13,LOC784254,59.184
Ca13,CA1,58.673
Ca13,LOC100847874,58.673
Ca13,CA3,57.377
Ca13,CA7,55.435
Ca13,CA5B,54.595
Ca13,CA5A,51.087
LOC100752294,TYR,82.899
Spcs2,SPCS2,97.797
Ptgds,PTGDS,63.874
Ca1,CA13,61.497
Hsd17b3,HSD17B3,82.609
Ca1,CA3,58.47
Ca1,CA2,62.431
Ca1,CA7,53.476
Ca1,CA5B,50.811
Ca1,CA5A,51.648
Adh5,ADH5,91.2
Ca1,LOC100847874,75.191
Ca1,LOC784254,75.573
Ca1,CA1,75.573
Adh5,ADH1C,61.23
Adh5,ADH6,60.322
Adh5,LOC523510,53.678
Adh5,ADH7,51.366
LOC100771073,URAH,81.513
Slc12a7,SLC12A7,89.464
Slc12a7,SLC12A4,73.713
Slc12a7,SLC12A6,73.529
LOC100755639,INPP1,95.0
Smpd1,SMPD1,82.962
LOC100763652,CYP2B6,66.525
Ca3,CA3,84.127
LOC100763652,CYP2B39,51.613
Ca3,CA13,59.127
Ca3,CA2,55.242
Ca3,CA1,54.4
Ca3,LOC100847874,53.6
Ca3,CA7,51.19
